p0,p0
p0,_:14
p0,_:15
p0,_:16
p0,_:17
p0,_:18
p0,_:19
p0,_:20
p0,_:21
p0,_:22
p0,_:23
p0,_:24
p0,_:25
p0,_:26
p0,_:27
p0,_:28
p0,_:29
p0,_:30
p0,_:31
p0,_:32
p0,_:33
p0,_:34
p0,_:35
p0,_:36
p0,_:37
p0,_:38
p0,_:39
p0,_:40
p1,p0
p1,p1
p1,_:14
p1,_:15
p1,_:16
p1,_:17
p1,_:18
p1,_:19
p1,_:20
p1,_:21
p1,_:22
p1,_:23
p1,_:24
p1,_:25
p1,_:26
p1,_:27
p1,_:28
p1,_:29
p1,_:30
p1,_:31
p1,_:32
p1,_:33
p1,_:34
p1,_:35
p1,_:36
p1,_:37
p1,_:38
p1,_:39
p1,_:40
p2,p0
p2,p1
p2,p2
p2,_:14
p2,_:15
p2,_:16
p2,_:17
p2,_:18
p2,_:19
p2,_:20
p2,_:21
p2,_:22
p2,_:23
p2,_:24
p2,_:25
p2,_:26
p2,_:27
p2,_:28
p2,_:29
p2,_:30
p2,_:31
p2,_:32
p2,_:33
p2,_:34
p2,_:35
p2,_:36
p2,_:37
p2,_:38
p2,_:39
p2,_:40
p3,p0
p3,p1
p3,p2
p3,p3
p3,_:14
p3,_:15
p3,_:16
p3,_:17
p3,_:18
p3,_:19
p3,_:20
p3,_:21
p3,_:22
p3,_:23
p3,_:24
p3,_:25
p3,_:26
p3,_:27
p3,_:28
p3,_:29
p3,_:30
p3,_:31
p3,_:32
p3,_:33
p3,_:34
p3,_:35
p3,_:36
p3,_:37
p3,_:38
p3,_:39
p3,_:40
p4,p0
p4,p1
p4,p2
p4,p3
p4,p4
p4,_:14
p4,_:15
p4,_:16
p4,_:17
p4,_:18
p4,_:19
p4,_:20
p4,_:21
p4,_:22
p4,_:23
p4,_:24
p4,_:25
p4,_:26
p4,_:27
p4,_:28
p4,_:29
p4,_:30
p4,_:31
p4,_:32
p4,_:33
p4,_:34
p4,_:35
p4,_:36
p4,_:37
p4,_:38
p4,_:39
p4,_:40
p5,p0
p5,p1
p5,p2
p5,p3
p5,p4
p5,p5
p5,_:14
p5,_:15
p5,_:16
p5,_:17
p5,_:18
p5,_:19
p5,_:20
p5,_:21
p5,_:22
p5,_:23
p5,_:24
p5,_:25
p5,_:26
p5,_:27
